record_id,case_id,seq,record_type,subscriber_msisdn,calling_msisdn,called_msisdn,imei,cell_id,ts_local,duration_s,sms_len,source_version
c26,case_trg_001,10051,MOC,306930000103,306930000103,302109000202,350000000000030,AT-20210-5506,2026-02-23T12:00:00+02:00,581,,cdr@1-en
c12,case_trg_001,10053,SMS-MO,306971234567,306971234567,306949876543,356923107744818,AT-20210-4312,2026-02-24T12:05:00+02:00,,35,cdr@1-en
c35,case_trg_001,10058,MOC,306930000107,306930000107,306930000103,350000000000071,AT-20210-5510,2026-02-24T12:55:00+02:00,335,,cdr@1-en
c30,case_trg_001,10064,MOC,306930000105,306930000105,306930000106,350000000000055,AT-20210-5508,2026-02-24T16:30:00+02:00,195,,cdr@1-en
c41,case_trg_001,10065,MOC,306930000109,306930000109,306930000107,350000000000097,AT-20210-5514,2026-02-25T14:15:00+02:00,899,,cdr@1-en
c17,case_trg_001,10067,MOC,306930000103,306930000103,306930000104,350000000000030,MAR-20530-0091,2026-02-25T18:30:00+02:00,876,,cdr@1-en
c03,case_trg_001,10070,MOC,306971234567,306971234567,306949876543,356923107744818,AT-20210-4312,2026-02-25T20:30:00+02:00,145,,cdr@1-en
c21,case_trg_001,10073,MOC,306930000101,306930000101,302109000202,350000000000014,AT-20210-5501,2026-02-26T10:40:00+02:00,879,,cdr@1-en
c33,case_trg_001,10077,SMS-MO,306930000106,306930000106,306930000107,350000000000063,AT-20210-5509,2026-02-26T12:35:00+02:00,,62,cdr@1-en
c04,case_trg_001,10078,SMS-MO,306971234567,306971234567,306949876543,356923107744818,MAR-20530-0091,2026-02-26T21:45:00+02:00,,6,cdr@1-en
c52,case_trg_001,10082,MOC,306930000101,306930000101,302109000203,350000000000014,AT-20210-5501,2026-02-27T09:05:00+02:00,365,,cdr@1-en
c49,case_trg_001,10088,SMS-MO,306930000107,306930000107,306930000105,350000000000071,AT-20210-5510,2026-02-27T13:30:00+02:00,,37,cdr@1-en
c27,case_trg_001,10089,SMS-MO,306930000104,306930000104,306930000106,350000000000048,MAR-20530-0091,2026-02-27T20:10:00+02:00,,40,cdr@1-en
c47,case_trg_001,10093,SMS-MO,306930000105,306930000105,306930000101,350000000000055,AT-20210-5508,2026-02-28T12:05:00+02:00,,72,cdr@1-en
c20,case_trg_001,10097,MOC,306930000102,306930000102,306930000103,350000000000022,AT-20210-5504,2026-02-28T17:15:00+02:00,473,,cdr@1-en
c25,case_trg_001,10101,MOC,306930000104,306930000104,306930000103,350000000000048,AT-20210-5505,2026-03-01T18:50:00+02:00,867,,cdr@1-en
c05,case_trg_001,10108,MOC,306912223344,306912223344,306971234567,,AT-20210-7755,2026-03-01T19:05:00+02:00,620,,cdr@1-en
c11,case_trg_001,10113,MOC,306912223344,306912223344,302101112233,,AT-20210-7755,2026-03-02T10:15:00+02:00,240,,cdr@1-en
c39,case_trg_001,10114,SMS-MO,306930000108,306930000108,306930000106,350000000000089,AT-20210-5512,2026-03-02T11:20:00+02:00,,79,cdr@1-en
c42,case_trg_001,10115,SMS-MO,306930000109,306930000109,306930000105,350000000000097,AT-20210-5514,2026-03-03T17:35:00+02:00,,37,cdr@1-en
c50,case_trg_001,10122,MOC,306930000108,306930000108,306930000103,350000000000089,AT-20210-5512,2026-03-04T11:10:00+02:00,821,,cdr@1-en
c14,case_trg_001,10127,MOC,306971234567,306971234567,306930000102,356923107744818,AT-20210-4312,2026-03-04T15:20:00+02:00,210,,cdr@1-en
c34,case_trg_001,10128,MTC,306930000106,306930000104,306930000106,350000000000063,AT-20210-5505,2026-03-04T19:50:00+02:00,168,,cdr@1-en
c01,case_trg_001,10135,SMS-MO,306971234567,306971234567,306949876543,356923107744818,AT-20210-4312,2026-03-04T23:14:00+02:00,,58,cdr@1-en
c02,case_trg_001,10136,SMS-MT,306971234567,306949876543,306971234567,356923107744818,AT-20210-4312,2026-03-04T23:20:00+02:00,,22,cdr@1-en
c45,case_trg_001,10141,MOC,306930000101,306930000101,306930000103,350000000000014,AT-20210-5501,2026-03-05T08:50:00+02:00,633,,cdr@1-en
c08,case_trg_001,10147,MOC,306949876543,306949876543,302104455667,353210559812001,AT-20210-1177,2026-03-05T11:02:14+02:00,312,,cdr@1-en
c06,case_trg_001,10151,MOC,306971234567,306971234567,306949876543,356923107744818,AT-20210-4312,2026-03-05T14:10:00+02:00,60,,cdr@1-en
c09,case_trg_001,10156,MOC,306949876543,306949876543,306971234567,353210559812001,AT-20210-1177,2026-03-05T16:45:00+02:00,30,,cdr@1-en
c46,case_trg_001,10158,MOC,306930000104,306930000104,306930000102,350000000000048,AT-20210-5505,2026-03-05T18:10:00+02:00,622,,cdr@1-en
c07,case_trg_001,10161,MOC,306971234567,306971234567,306955512399,356923107744818,MAR-20530-0091,2026-03-05T20:40:00+02:00,95,,cdr@1-en
c10,case_trg_001,10162,SMS-MO,306971234567,306971234567,306949876543,356923107744818,MAR-20530-0091,2026-03-05T21:14:00+02:00,,14,cdr@1-en
c31,case_trg_001,10165,SMS-MO,306930000105,306930000105,302109000203,350000000000055,AT-20210-5508,2026-03-06T09:15:00+02:00,,27,cdr@1-en
c36,case_trg_001,10171,SMS-MO,306930000107,306930000107,306930000109,350000000000071,AT-20210-5510,2026-03-06T15:10:00+02:00,,51,cdr@1-en
c23,case_trg_001,10172,MOC,306930000101,306930000101,306930000109,350000000000014,AT-20210-5503,2026-03-07T11:05:00+02:00,424,,cdr@1-en
c48,case_trg_001,10179,MOC,306930000106,306930000106,306930000102,350000000000063,AT-20210-5509,2026-03-07T12:40:00+02:00,723,,cdr@1-en
c44,case_trg_001,10185,SMS-MO,306930000102,306930000102,306930000109,350000000000022,AT-20210-5504,2026-03-07T16:25:00+02:00,,47,cdr@1-en
c40,case_trg_001,10192,MOC,306930000108,306930000108,302109000202,350000000000089,AT-20210-5513,2026-03-08T10:30:00+02:00,232,,cdr@1-en
c54,case_trg_001,10197,SMS-MO,306930000103,306930000103,306930000108,350000000000030,AT-20210-5506,2026-03-08T20:00:00+02:00,,70,cdr@1-en
c43,case_trg_001,10204,MOC,306930000109,306930000109,302109000203,350000000000097,AT-20210-5515,2026-03-09T10:10:00+02:00,317,,cdr@1-en
c53,case_trg_001,10209,MOC,306930000102,306930000102,306930000107,350000000000022,AT-20210-5504,2026-03-09T18:20:00+02:00,707,,cdr@1-en
c37,case_trg_001,10214,MOC,306930000107,306930000107,302109000203,350000000000071,AT-20210-5511,2026-03-10T09:40:00+02:00,329,,cdr@1-en
c55,case_trg_001,10215,MOC,306930000105,306930000105,306930000109,350000000000055,AT-20210-5508,2026-03-10T17:25:00+02:00,315,,cdr@1-en
